"Date","Comp","Negative","Neutral","Positive"
"2018-10-02","0.977","0.018","0.719","0.263"
"2018-10-03","-0.614","0.059","0.941","0"
"2018-10-04","0.691","0.066","0.786","0.148"
"2018-10-05","0.984","0.036","0.706","0.258"
"2018-10-06","0.511","0.034","0.872","0.094"
"2018-10-07","0.977","0.027","0.721","0.253"
"2018-10-08","0.912","0.053","0.743","0.204"
"2018-10-09","0.859","0.056","0.755","0.189"
"2018-10-10","0.128","0.07","0.852","0.078"
"2018-10-11","0.949","0","0.805","0.195"
"2018-10-12","0.98","0.052","0.722","0.225"
"2018-10-13","0.987","0","0.807","0.193"
"2018-10-14","0.751","0.056","0.74","0.204"
"2018-10-15","0.934","0.095","0.63","0.275"
"2018-10-16","0.844","0.029","0.848","0.123"
"2018-10-17","0.878","0.032","0.855","0.112"
"2018-10-18","0.9","0.122","0.678","0.2"
"2018-10-19","-0.178","0.075","0.848","0.077"
"2018-10-20","0.922","0","0.77","0.23"
"2018-10-21","0.948","0","0.833","0.167"
